,,,,,PETROL,"1,368.98",105.8,"1,44,838.08",,NIZAM,,-62.16,,,,,,,,
,,,,,XP,480,120,"57,600.00",,MANU,,-16.5,,,,,,,,
,,,,,,"4,225.98",,"4,72,538.86",,EXESS/SHORT,,0.69,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,1 st shift,,,,,,,,,,,,,,,,,
,,,TOTAL RECEIPT,AMOUNT,,,,,,,,,,,,,,,,
,,,CASH,"1,47,604.00",,,,,,,,,,,,,,,,
,,,QR,"1,56,818.50",,,,,,,,,,,,,,,,
,,,UPI,"1,68,100.55",,,,,,,,,,,,,,,,
,,,,"4,72,523.05",,,,,,,,,,,,,,,,
,,,CREDIT,"1,28,100.55",,,,,,,,,,,,,,,,
,,,DISCOUNT,-,,,,,,,,,,,,,,,,
,,,FUEL COUPEN,-,,,,,,,,,,,,,,,,
,,,Generator,-,,,,,,,,,,,,,,,,
